Review
"Jordan Low 1 The delivery was on time as scheduled. The fit is true to size. Product quality is amazing!! Overall a perfect score of 10!! Manny214Fresh Sep 8, 2023 Location US Size you normally wear 9.5 0 0 Flag"
"Runs BIG Beautiful shoes, but runs BIG. I’m usually a 8.5M so I ordered a 10W and it was too big. I would definitely order half a size down next time!"
"I Love the shoes, I definitely recommend."
Love My Low Dunks My 1st Pair Of Low Dunks And I Love Them 😍 Black And Red Are Two Of My Favorite Colors.
"Jordan low shoes These shoes met all of our expectations! Bright, fun with that classic Jordan look. My daughter is a college softball coach and these shoes were purchased for her, matching the school colors 💙❤️ we are obsessed !!"
"Fire AJ1 lows
These my friend are impeccable!!! Buttery leather, fire colorway, fast shipping and great fit!!! These AJ1 lows were right on time for the upcoming fall season although they can be worn for any season, any reason as they fit any swag!!!
Shequilla31
Aug 13, 2023
Location
Porter, TX
Originally posted at Hibbett Sports
0
0
Flag"
"Back 2 School
Back to school shoes for my middle child. Perfect for a bit of flavor to school uniforms.
jasw
Aug 10, 2023
Location
Mobile, AL
Originally posted at Hibbett Sports
0
0
Flag"
"Best shoes
 I love these shoes the color way and think they are better than dunks. Super clean and stylish
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
Racharoni
Aug 10, 2023
Originally posted at DICK'S Sporting Goods
0
0
Flag"
"Love Them
The red white n blue is perfect. Gotnthem for both me and my sis....needless to say we have folks looking. For real...all.my lows are comfortable amd stylish. Theu go woth kist about anything i wear. My new collection...what's next
HARPO120
Aug 9, 2023
Originally posted at Hibbett Sports
0
0
Flag"
"Great features
 I bought these a month ago and I am so happy I did
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
Bobba2222
Aug 9, 2023
Location
Houston
Originally posted at DICK'S Sporting Goods
0
0
Flag"
None
"Great shoe
Love these shoes. They are comfortable stylish great for everyday wear
Brwnfoxxt
Jul 25, 2020
Originally posted at Hibbett Sports
0
0
Flag"
"Very happy
 Gray service never had a problem with them ❤❤❤❤❤❤❤
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
23LatinloverKicks
Jul 21, 2020
Originally posted at Hibbett Sports
0
0
Flag"
"Loving my Jordan 1 low tennis shoes.
I boughr my shoes last month. I love the color and they are very comfortable I have gotten a lot of compliments on my shoes. My daughter want a pair now.
GlamGirll4
Jul 20, 2020
Originally posted at Hibbett Sports
0
0
Flag"
"Jordan 1’s
These shoes are my favorite jordan’s and they are comfortable.
Tyti R
Jul 20, 2020
Originally posted at Hibbett Sports
0
0
Flag"
"sold out fast
Good quality is good for the price. Color blocking is on point.
Kalboako
Jul 19, 2020
Originally posted at Hibbett Sports
1
0
Flag"
"Great Buy!
I absolutely love this shoe. The color waves are nice too.
Friendly Buyer
Jul 19, 2020
Originally posted at Hibbett Sports
0
0
Flag"
"Cute
Bought this pair for my mom and she absolutely loves them‼️
Tynae
Jul 13, 2020
Originally posted at Hibbett Sports
0
0
Flag"
Great Service Love my shoes came on time a great sale kept me informed about my order everything was great.
"OG shoe My daughter loves them , the details are definitely Nike OG. If it helps she and I agreed they fit like air force 1s Pisbull Aug 26, 2023 Location US 0 0 Flag"
"Worth it
I'm typically in between a size 6 & 6.5 in shoes and my feet are not narrow. I got them in a size 6.5, but I think I could have got them in a size 6 because they do slip a bit when I am walking and I can slip my feet in and out of them without untying the shoelaces. I'm going to rate them as ""runs large"", but I think I can make it fit better with thick socks or shoe inserts.
Gretel
Aug 25, 2023
Originally posted at DICK'S Sporting Goods
0
0
Flag"
"Good fit, nice color way. The off white laces and soles give it a clean look"
