,Rating,Review Date,Location,Username,Review,Fit Feedback,Comfort Feedback,Recommend Feedback,title,IsPromoReview,subtitle,colorDescription,fullPrice,discounted,employeePrice,currentPrice,isLaunch,pid,label
1570,5,"Nov 1, 2022","Mason City, IA, US",RIchard819443770,"I love Jordans!
Great looking shoe! I'm Looking to buy these very soon!
RIchard819443770
Nov 1, 2022
Location
Mason City, IA, US
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1571,5,"Nov 1, 2022","Mason City, IA, US",RIchard819443770,"I love Jordans!
Great looking shoe! I'm Looking to buy these very soon!
RIchard819443770
Nov 1, 2022
Location
Mason City, IA, US
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1572,5,"Nov 1, 2022","Mason City, IA, US",RIchard819443770,"I love Jordans!
Great looking shoe! I'm Looking to buy these very soon!
RIchard819443770
Nov 1, 2022
Location
Mason City, IA, US
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1573,5,"Nov 1, 2022","Mason City, IA, US",RIchard819443770,"I love Jordans!
Great looking shoe! I'm Looking to buy these very soon!
RIchard819443770
Nov 1, 2022
Location
Mason City, IA, US
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1574,5,"Nov 1, 2022","Mason City, IA, US",RIchard819443770,"I love Jordans!
Great looking shoe! I'm Looking to buy these very soon!
RIchard819443770
Nov 1, 2022
Location
Mason City, IA, US
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1575,5,"Nov 19, 2022",,Cute,"Cute
This shoe is so cute on my foot. My boyfriend was jealous so he got a pair.
Jordan sneaker
Nov 19, 2022
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1576,5,"Nov 19, 2022",,Cute,"Cute
This shoe is so cute on my foot. My boyfriend was jealous so he got a pair.
Jordan sneaker
Nov 19, 2022
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1577,5,"Nov 19, 2022",,Cute,"Cute
This shoe is so cute on my foot. My boyfriend was jealous so he got a pair.
Jordan sneaker
Nov 19, 2022
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1578,5,"Nov 19, 2022",,Cute,"Cute
This shoe is so cute on my foot. My boyfriend was jealous so he got a pair.
Jordan sneaker
Nov 19, 2022
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1579,5,"Nov 19, 2022",,Cute,"Cute
This shoe is so cute on my foot. My boyfriend was jealous so he got a pair.
Jordan sneaker
Nov 19, 2022
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
